city,lat,lng,country,iso2,admin,capital,population,population_proper
PORT PIRIE,-33.191761,138.017456,Australia,AU,South Australia,,12506,12328
WARWICK,-28.219009,152.034378,Australia,AU,Queensland,,12347,7701
KEMPSEY,-31.078979,152.830933,Australia,AU,New South Wales,,11840,9522
PORTLAND,-38.352612,141.605743,Australia,AU,Victoria,,11808,8841
GYMPIE SOUTH,-26.211519,152.64769,Australia,AU,Queensland,,11649,11027
MUSWELLBROOK,-32.261181,150.890091,Australia,AU,New South Wales,,11630,4712
PARKES,-33.137199,148.175903,Australia,AU,New South Wales,,11137,3183
LITHGOW,-33.482471,150.136307,Australia,AU,New South Wales,,11128,9548
BAIRNSDALE EAST,-37.830789,147.651752,Australia,AU,Victoria,,11005,7849
BOWEN,-20.01367,148.247543,Australia,AU,Queensland,,10983,10983
YEPPOON,-23.126829,150.744064,Australia,AU,Queensland,,10769,2132
BATEMANS BAY,-35.706581,150.175415,Australia,AU,New South Wales,,10557,651
KIAMA,-34.668282,150.852188,Australia,AU,New South Wales,,10379,10379
BUSSELTON,-33.652489,115.345497,Australia,AU,Western Australia,,10214,8976
INNISFAIL,-17.522091,146.031021,Australia,AU,Queensland,,10143,9271
KATHERINE,-14.46517,132.263474,Australia,AU,Northern Territory,,10141,6202
MORANBAH,-21.99828,148.034836,Australia,AU,Queensland,,10000,4714
SOUTH GRAFTON,-29.7,152.95,Australia,AU,New South Wales,,9955,5788
DALBY,-27.18169,151.262054,Australia,AU,Queensland,,9847,9790
CHARTERS TOWERS,-20.07671,146.263535,Australia,AU,Queensland,,9573,7166
EMERALD,-23.522961,148.157837,Australia,AU,Queensland,,9398,5580
SWAN HILL,-35.3383,143.552652,Australia,AU,Victoria,,9276,8870
ULLADULLA,-35.359058,150.472473,Australia,AU,New South Wales,,9250,4372
COLAC,-38.339001,143.584885,Australia,AU,Victoria,,9089,5811
AYR,-19.573931,147.406662,Australia,AU,Queensland,,9078,5254
HAMILTON,-37.74334,142.028915,Australia,AU,Victoria,,8869,5116
KINGAROY,-26.53994,151.837296,Australia,AU,Queensland,,8573,6416
INVERELL,-29.774031,151.111664,Australia,AU,New South Wales,,8561,5130
MOREE,-29.46278,149.841568,Australia,AU,New South Wales,,8203,7921
DENILIQUIN,-35.532447,144.953643,Australia,AU,New South Wales,,8024,4015
ESPERANCE,-33.86013,121.882591,Australia,AU,Western Australia,,7888,6522
VICTOR HARBOR,-35.550419,138.621536,Australia,AU,South Australia,,7760,7218
YOUNG,-34.313499,148.301071,Australia,AU,New South Wales,,7501,5343
CARNARVON,-24.88073,113.659401,Australia,AU,Western Australia,,7392,7392
LEETON,-34.551048,146.404831,Australia,AU,New South Wales,,7299,5255
GUNNEDAH,-30.98065,150.258377,Australia,AU,New South Wales,,7148,5260
NARRABRI WEST,-30.333333,149.75,Australia,AU,New South Wales,,7082,5129
MARYBOROUGH,-37.04562,143.739227,Australia,AU,Victoria,,7046,4631
STAWELL,-37.05632,142.780884,Australia,AU,Victoria,,6991,2201
ATHERTON,-17.268641,145.47522,Australia,AU,Queensland,,6959,5306
COWRA,-33.835541,148.696625,Australia,AU,New South Wales,,6795,4664
BYRON BAY,-28.64201,153.611938,Australia,AU,New South Wales,,6764,3725
TUMUT,-35.300159,148.225052,Australia,AU,New South Wales,,6526,3220
COOMA,-36.234692,149.125977,Australia,AU,New South Wales,,6520,4803
PAMBULA,-36.930099,149.874496,Australia,AU,New South Wales,,6367,848
BILOELA,-24.395895,150.515043,Australia,AU,Queensland,,6309,2424
SOUTH INGHAM,-18.65,146.166667,Australia,AU,Queensland,,6127,5866
BATHURST,-33.417358,149.581284,Australia,AU,New South Wales,,6111,6111
ARARAT,-37.285419,142.927277,Australia,AU,Victoria,,6110,4818
WONTHAGGI,-38.605862,145.593552,Australia,AU,Victoria,,5985,2958
NORTHAM,-31.649321,116.674232,Australia,AU,Western Australia,,5855,4805
KUNUNURRA,-15.77813,128.744141,Australia,AU,Western Australia,,5679,4780
ROMA,-26.56741,148.787506,Australia,AU,Queensland,,5496,3625
MUDGEE,-32.59948,149.587067,Australia,AU,New South Wales,,5391,5391
NEWMAN,-23.394506,119.729637,Australia,AU,Western Australia,,5138,218
MCMINNS LAGOON,-12.55397,131.111649,Australia,AU,Northern Territory,,5025,5025
FORBES,-33.384361,148.007599,Australia,AU,New South Wales,,4838,3315
BERRI,-34.281071,140.599579,Australia,AU,South Australia,,4716,4330
COBRAM,-35.920689,145.640656,Australia,AU,Victoria,,4659,4659
SCONE,-32.05014,150.868927,Australia,AU,New South Wales,,4624,4624
GOONDIWINDI,-28.5464,150.307297,Australia,AU,Queensland,,4251,4251
MANJIMUP,-34.241219,116.145638,Australia,AU,Western Australia,,4240,3793
NARROGIN,-32.932819,117.177628,Australia,AU,Western Australia,,4238,3752
SMITHTON,-40.845868,145.124975,Australia,AU,Tasmania,,4202,2500
PROSERPINE,-20.4011,148.5802,Australia,AU,Queensland,,3976,3976
KATANNING,-33.68787,117.558403,Australia,AU,Western Australia,,3934,2346
SEYMOUR,-37.02655,145.139236,Australia,AU,Victoria,,3693,3693
CLARE,-33.833248,138.610641,Australia,AU,South Australia,,3061,2397
CENTRAL COAST,-33.42979,151.371445,Australia,AU,New South Wales,,3026,3026
PORT DOUGLAS,-16.483829,145.467255,Australia,AU,Queensland,,3000,1009
LONGREACH,-23.44212,144.249207,Australia,AU,Queensland,,2894,2894
WEIPA,-12.62346,141.87883,Australia,AU,Queensland,,2830,2830
WALLAROO,-33.938808,137.633652,Australia,AU,South Australia,,2779,2105
TOM PRICE,-22.69408,117.787651,Australia,AU,Western Australia,,2723,921
MERREDIN,-31.48094,118.274483,Australia,AU,Western Australia,,2668,1440
BORDERTOWN,-36.307678,140.771667,Australia,AU,South Australia,,2583,1369
BOURKE,-30.09008,145.945435,Australia,AU,New South Wales,,2475,2475
NORTH SCOTTSDALE,-41.121545,147.559519,Australia,AU,Tasmania,,2468,899
QUEENSTOWN,-42.080502,145.556458,Australia,AU,Tasmania,,2352,964
CHARLEVILLE,-26.40542,146.242737,Australia,AU,Queensland,,1900,1900
YAMBA,-29.43545,153.360306,Australia,AU,New South Wales,,1806,1806
TUMBY BAY,-34.375061,136.103333,Australia,AU,South Australia,,1791,1791
MOUNT BARKER,-34.63084,117.666061,Australia,AU,Western Australia,,1781,1762
PETERBOROUGH,-32.97205,138.840729,Australia,AU,South Australia,,1689,1013
WAGIN,-33.308941,117.343277,Australia,AU,Western Australia,,1598,477
CEDUNA,-32.121559,133.678665,Australia,AU,South Australia,,1586,919
KALBARRI,-27.710501,114.165047,Australia,AU,Western Australia,,1537,1537
PENOLA,-37.375198,140.836777,Australia,AU,South Australia,,1514,1512
MENINGIE,-35.688412,139.338562,Australia,AU,South Australia,,1501,199
GINGIN,-31.347219,115.90432,Australia,AU,Western Australia,,1446,1446
OUYEN,-35.070869,142.320343,Australia,AU,Victoria,,1400,424
PORT DENISON,-29.283333,114.916667,Australia,AU,Western Australia,,1213,1213
HALLS CREEK,-18.22485,127.666473,Australia,AU,Western Australia,,1209,1209
CLONCURRY,-20.70718,140.513031,Australia,AU,Queensland,,1202,1202
OATLANDS,-42.30302,147.367233,Australia,AU,Tasmania,,1157,1157
WINTON,-22.381849,143.042404,Australia,AU,Queensland,,1157,1157
RAVENSTHORPE,-33.583031,120.046883,Australia,AU,Western Australia,,1101,177
EXMOUTH,-21.940201,114.125008,Australia,AU,Western Australia,,1085,1085
BARCALDINE,-23.55353,145.285416,Australia,AU,Queensland,,1068,1068
STREAKY BAY,-32.79924,134.211594,Australia,AU,South Australia,,1060,169
NORSEMAN,-32.197689,121.778732,Australia,AU,Western Australia,,1004,1004
YULARA,-25.245291,130.980545,Australia,AU,Northern Territory,,930,930
GEORGETOWN,-18.29199,143.545837,Australia,AU,Queensland,,818,818
PANNAWONICA,-21.639179,116.322227,Australia,AU,Western Australia,,686,686
PINE CREEK,-13.82077,131.832947,Australia,AU,Northern Territory,,665,345
MEEKATHARRA,-26.59524,118.493927,Australia,AU,Western Australia,,654,654
KIMBA,-33.14164,136.418747,Australia,AU,South Australia,,636,636
BOULIA,-22.91139,139.909348,Australia,AU,Queensland,,600,205
ONSLOW,-21.636869,115.111687,Australia,AU,Western Australia,,573,573
QUILPIE,-26.61348,144.269485,Australia,AU,Queensland,,560,560
COWELL,-33.68227,136.921173,Australia,AU,South Australia,,537,537
ANDAMOOKA,-30.44972,137.163651,Australia,AU,South Australia,,528,528
EIDSVOLD,-25.370609,151.122589,Australia,AU,Queensland,,459,459
WOOMERA,-31.19981,136.832581,Australia,AU,South Australia,,450,450
WILCANNIA,-31.56031,143.377045,Australia,AU,New South Wales,,442,442
MOUNT MAGNET,-28.064791,117.849037,Australia,AU,Western Australia,,424,424
HUGHENDEN,-20.84399,144.200348,Australia,AU,Queensland,,421,421
LAVERTON,-28.625311,122.399399,Australia,AU,Western Australia,,316,316
RICHMOND,-20.73243,143.143555,Australia,AU,Queensland,,296,296
BIRDSVILLE,-25.898001,139.351726,Australia,AU,Queensland,,283,283
IVANHOE,-32.900379,144.301498,Australia,AU,New South Wales,,265,265
MORAWA,-29.21343,116.007912,Australia,AU,Western Australia,,259,259
THEODORE,-24.94743,150.075287,Australia,AU,Queensland,,246,246
ADELAIDE RIVER,-13.23943,131.10733,Australia,AU,Northern Territory,,237,237
LEONORA,-28.88509,121.330742,Australia,AU,Western Australia,,227,227
KINGSTON SOUTH EAST,-36.83073,139.852203,Australia,AU,South Australia,,206,206
THARGOMINDAH,-27.99498,143.823914,Australia,AU,Queensland,,203,203
BURKETOWN,-17.741051,139.547745,Australia,AU,Queensland,,200,173
THREE SPRINGS,-29.533609,115.760529,Australia,AU,Western Australia,,190,190
SOUTHERN CROSS,-31.22677,119.323761,Australia,AU,Western Australia,,187,187
CAMOOWEAL,-19.921539,138.120132,Australia,AU,Queensland,,187,187
BICHENO,-41.884764,148.301446,Australia,AU,Tasmania,,177,177
KARUMBA,-17.488819,140.838196,Australia,AU,Queensland,,173,173
WINDORAH,-25.42224,142.656597,Australia,AU,Queensland,,158,158
BEDOURIE,-24.3637,139.465277,Australia,AU,Queensland,,142,142
KINGOONYA,-30.9,135.3,Australia,AU,South Australia,,50,50
MELBOURNE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CURRIE,-39.929759,143.853847,Australia,AU,Tasmania,minor,,
HAMILTON ISLAND,-20.3517,148.9488,Australia,AU,Queensland,,,
MACKAY,-21.1706,149.1808,Australia,AU,Queensland,,,
SUNSHINE COAST,-26.6038,153.09,Australia,AU,Queensland,,,
TAMWORTH,-31.0845,150.8484,Australia,AU,New South Wales,,,
AYERS ROCK,-25.1905,130.9763,Australia,AU,Northern Territory,,,
